year,disease,happened,population,climate_change,democracy_index,poverty,gdp,life_expectancy,global_health_gdp_average,flights
1900,Cholera,True,904248585.0461731,-3.7323636363636012,5.671483375959093,126.77081339711958,-82.71821428571138,41.96761904761718,0.410714285713766,-100.10111111112656
1901,Cholera,True,954956061.960083,-3.6927272727272396,5.670083120204617,125.75550239233507,-81.3299999999972,42.228178571426724,0.498571428570898,-98.93277777779304
1902,Cholera,True,1005663538.8739929,-3.653090909090878,5.66868286445014,124.74019138755034,-79.94178571428301,42.488738095236215,0.5864285714280584,-97.76444444445951
1903,Cholera,True,1056371015.7879028,-3.613454545454516,5.667282608695665,123.72488038276583,-78.55357142856883,42.74929761904576,0.6742857142851904,-96.59611111112599
1904,Cholera,True,1107078492.7018127,-3.5738181818181545,5.665882352941189,122.70956937798132,-77.16535714285465,43.00985714285531,0.7621428571423507,-95.42777777779247
1905,Cholera,True,1157785969.6157227,-3.534181818181793,5.664482097186713,121.69425837319659,-75.77714285714046,43.27041666666486,0.8499999999994827,-94.2594444444594
1906,Cholera,True,1208493446.5296326,-3.494545454545431,5.663081841432238,120.67894736841208,-74.38892857142582,43.530976190474405,0.9378571428566431,-93.09111111112588
1907,Cholera,True,1259200923.4435425,-3.4549090909090694,5.661681585677762,119.66363636362735,-73.00071428571164,43.79153571428395,1.025714285713775,-91.92277777779236
1908,Cholera,True,1309908400.3574524,-3.4152727272726935,5.660281329923286,118.64832535884284,-71.61249999999745,44.05209523809344,1.1135714285709355,-90.75444444445884
1909,Cholera,True,1360615877.2713623,-3.375636363636332,5.658881074168811,117.6330143540581,-70.22428571428327,44.31265476190299,1.2014285714280675,-89.58611111112532
1910,Cholera,True,1411323354.1852722,-3.33599999999997,5.657480818414334,116.6177033492736,-68.83607142856908,44.57321428571254,1.2892857142852279,-88.4177777777918
1911,Cholera,True,1462030831.0991974,-3.2963636363636084,5.6560805626598585,115.60239234448909,-67.44785714285445,44.833773809522086,1.3771428571423598,-87.24944444445828
1912,Cholera,True,1512738308.0131073,-3.2567272727272467,5.654680306905382,114.58708133970435,-66.05964285714026,45.09433333333163,1.4649999999995202,-86.08111111112476
1913,Cholera,True,1563445784.9270172,-3.217090909090885,5.653280051150906,113.57177033491985,-64.67142857142608,45.35489285714118,1.5528571428566522,-84.91277777779169
1914,Cholera,True,1614153261.8409271,-3.1774545454545233,5.651879795396431,112.55645933013511,-63.28321428571189,45.61545238095073,1.6407142857138126,-83.74444444445817
1915,Encephalitis lethargica,True,1664860738.754837,-3.1378181818181616,5.650479539641955,111.5411483253506,-61.89499999999771,45.87601190476022,1.728571428570973,-82.57611111112465
1916,Encephalitis lethargica,True,1715568215.668747,-3.0981818181818,5.649079283887479,110.52583732056587,-60.50678571428307,46.136571428569766,1.816428571428105,-81.40777777779113
1917,Encephalitis lethargica,True,1766275692.5826569,-3.0585454545454382,5.647679028133004,109.51052631578136,-59.118571428568885,46.397130952379314,1.9042857142852654,-80.2394444444576
1918,Influenza A virus subtype H1N1,True,1816983169.4965668,-3.0189090909090623,5.646278772378528,108.49521531099663,-57.7303571428547,46.65769047618886,1.9921428571423974,-79.07111111112408
1919,Influenza A virus subtype H1N1,True,1867690646.4104767,-2.9792727272727006,5.644878516624052,107.47990430621212,-56.342142857140516,46.91824999999841,2.0799999999995578,-77.90277777779056
1920,Influenza A virus subtype H1N1,True,1918398123.3243866,-2.939636363636339,5.643478260869576,106.46459330142761,-54.95392857142633,47.178809523807956,2.1678571428566897,-76.73444444445704
1921,Encephalitis lethargica,True,1969105600.2382965,-2.8999999999999773,5.6420780051151,105.44928229664288,-53.56571428571169,47.43936904761745,2.25571428571385,-75.56611111112352
1922,Encephalitis lethargica,True,2019813077.1522217,-2.8603636363636156,5.6406777493606235,104.43397129185837,-52.17749999999751,47.699928571426994,2.343571428570982,-74.39777777779045
1923,Encephalitis lethargica,True,2070520554.0661316,-2.820727272727254,5.639277493606148,103.41866028707364,-50.789285714283324,47.96048809523654,2.4314285714281425,-73.22944444445693
1924,Encephalitis lethargica,True,2121228030.9800415,-2.781090909090892,5.637877237851672,102.40334928228913,-49.40107142856914,48.22104761904609,2.5192857142852745,-72.06111111112341
1925,Encephalitis lethargica,True,2171935507.8939514,-2.7414545454545305,5.6364769820971965,101.38803827750439,-48.012857142854955,48.48160714285564,2.607142857142435,-70.89277777778989
1926,Encephalitis lethargica,True,2222642984.8078613,-2.701818181818169,5.635076726342721,100.37272727271989,-46.624642857140316,48.742166666665184,2.694999999999567,-69.72444444445637
1927,None,False,2273350461.7217712,-2.662181818181807,5.633676470588245,99.35741626793538,-45.23642857142613,49.00272619047473,2.7828571428567273,-68.55611111112285
1928,None,False,2324057938.635681,-2.622545454545431,5.6322762148337695,98.34210526315064,-43.84821428571195,49.26328571428422,2.8707142857138592,-67.38777777778932
1929,None,False,2374765415.549591,-2.5829090909090695,5.630875959079293,97.32679425836614,-42.45999999999776,49.52384523809377,2.9585714285710196,-66.2194444444558
1930,None,False,2425472892.463501,-2.543272727272708,5.629475703324817,96.3114832535814,-41.07178571428358,49.78440476190332,3.0464285714281516,-65.05111111112274
1931,None,False,2476180369.377411,-2.503636363636346,5.628075447570342,95.29617224879689,-39.683571428569394,50.044964285712865,3.134285714285312,-63.882777777789215
1932,None,False,2526887846.291321,-2.4639999999999844,5.626675191815865,94.28086124401216,-38.295357142854755,50.30552380952241,3.2221428571424724,-62.714444444455694
1933,None,False,2577595323.205246,-2.4243636363636227,5.625274936061389,93.26555023922765,-36.90714285714057,50.56608333333196,3.3099999999996044,-61.54611111112217
